Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-01-02,34.99,35.94,34.99,35.8,,44700,1590561,,,
2017-01-03,35.9,35.93,35.34,35.48,,70618,2515473,,,
2017-01-04,35.48,35.51,34.75,35.19,,54408,1906810,,,
2017-01-05,35.02,35.2,34.73,35.06,,48412,1692326,,,
2017-01-06,34.91,35.21,34.91,35.04,,27507,964046,,,
2017-01-09,35.29,35.35,34.43,34.67,,62225,2157182,,,
2017-01-10,34.8,34.98,34.46,34.91,,43976,1528055,,,
2017-01-11,34.95,36.0,34.84,35.42,,123530,4369079,,,
2017-01-12,35.38,35.38,34.31,34.9,,163860,5703427,,,
2017-01-13,34.98,34.98,34.6,34.85,,59367,2065534,,,
2017-01-16,34.85,35.24,34.56,35.07,,47879,1678679,,,
2017-01-17,35.06,35.19,34.79,34.99,,39195,1369857,,,
2017-01-18,35.04,35.51,34.8,34.9,,65931,2311608,,,
2017-01-19,35.04,35.04,34.42,34.5,,73105,2526731,,,
2017-01-20,34.54,34.59,34.05,34.17,,80246,2743474,,,
2017-01-23,34.04,34.12,33.62,34.06,,55333,1877957,,,
2017-01-24,34.0,34.35,33.85,34.22,,48797,1666086,,,
2017-01-25,34.42,34.86,34.03,34.83,,56240,1947147,,,
2017-01-26,35.07,35.58,34.8,34.89,,64103,2249375,,,
2017-01-27,34.83,35.43,34.81,35.3,,69657,2444913,,,
2017-01-30,35.38,35.59,34.95,35.15,,69603,2457762,,,
2017-01-31,35.24,35.24,34.56,34.56,,63371,2199583,,,
2017-02-01,34.75,36.0,34.75,35.94,,85137,3038172,,,
2017-02-02,35.95,36.2,35.7,36.07,,54279,1953176,,,
2017-02-03,36.02,36.2,35.73,36.1,,40705,1464712,,,
2017-02-06,36.06,36.15,35.6,35.64,,41911,1496794,,,
2017-02-07,35.56,36.05,35.36,35.89,,67410,2410818,,,
2017-02-08,35.98,36.14,35.84,36.05,,39731,1431205,,,
2017-02-09,36.2,36.25,35.77,36.25,,67781,2445428,,,
2017-02-10,36.65,37.5,36.57,37.06,,115843,4291017,,,
2017-02-13,37.37,39.36,37.35,38.53,,177171,6804028,,,
2017-02-14,38.81,38.86,38.0,38.37,,82601,3163898,,,
2017-02-15,38.5,38.93,38.4,38.72,,77420,2996861,,,
2017-02-16,38.8,39.2,38.25,38.71,,84682,3282322,,,
2017-02-17,38.8,39.03,38.48,39.02,,60583,2352961,,,
2017-02-20,39.25,39.25,38.81,38.98,,37014,1444138,,,
2017-02-21,38.85,39.57,38.85,39.45,,46070,1808350,,,
2017-02-22,39.6,39.75,39.27,39.7,,77619,3066894,,,
2017-02-23,39.72,39.98,39.38,39.79,,81945,3260642,,,
2017-02-24,39.77,40.14,38.91,39.74,,101294,4015150,,,
2017-02-27,39.75,40.64,39.75,40.39,,62655,2520260,,,
2017-02-28,40.38,40.95,40.38,40.84,,67440,2747011,,,
2017-03-01,41.19,41.57,40.9,41.2,,86753,3569796,,,
2017-03-02,41.38,41.39,40.76,41.17,,49863,2048153,,,
2017-03-03,41.12,41.22,40.84,41.18,,40800,1675587,,,
2017-03-06,41.25,41.4,40.81,41.4,,46510,1916799,,,
2017-03-07,41.5,41.8,41.25,41.42,,61925,2569608,,,
2017-03-08,41.13,41.71,40.95,41.68,,45111,1870935,,,
2017-03-09,41.61,41.61,41.16,41.4,,43988,1819182,,,
2017-03-10,41.53,41.53,41.16,41.4,,38518,1592270,,,
2017-03-13,41.4,41.46,41.08,41.3,,44803,1850251,,,
2017-03-14,41.2,41.5,41.2,41.3,,60420,2498025,,,
2017-03-15,41.4,41.5,40.91,41.25,,60324,2488650,,,
2017-03-16,41.4,41.57,41.09,41.46,,55799,2308423,,,
2017-03-17,41.47,41.59,41.16,41.34,,90109,3734232,,,
2017-03-20,41.26,42.17,41.26,41.97,,97572,4074891,,,
2017-03-21,41.8,41.83,40.97,40.98,,56906,2349965,,,
2017-03-22,38.25,39.02,37.53,38.94,,670349,25910543,,,
2017-03-23,39.01,39.25,38.63,38.96,,169971,6621807,,,
2017-03-24,38.94,39.02,38.6,38.94,,210926,8205507,,,
2017-03-27,38.73,39.1,38.53,38.85,,191515,7446952,,,
2017-03-28,38.95,39.35,38.79,39.22,,115075,4505494,,,
2017-03-29,39.39,40.01,39.05,40.01,,335406,13349426,,,
2017-03-30,40.02,40.14,39.42,39.75,,189201,7541354,,,
2017-03-31,39.77,40.07,39.42,39.98,,95382,3795061,,,
2017-04-03,40.15,40.15,39.54,39.64,,127973,5081376,,,
2017-04-04,39.5,40.88,39.48,40.81,,193156,7822665,,,
2017-04-05,41.1,41.34,40.79,41.1,,156005,6404780,,,
2017-04-06,40.96,41.25,40.83,41.05,,96794,3968681,,,
2017-04-07,40.9,41.42,40.84,41.42,,81255,3344628,,,
2017-04-10,41.46,41.68,41.31,41.68,,62297,2585922,,,
2017-04-11,41.62,42.03,41.53,41.75,,107817,4501109,,,
2017-04-12,42.02,42.45,41.84,42.2,,158278,6672547,,,
2017-04-13,42.06,42.48,41.99,42.2,,88416,3734717,,,
2017-04-14,,42.48,41.985,42.2,,88416,3734717,,,
2017-04-17,,42.48,41.985,42.2,,88416,3734717,,,
2017-04-18,42.24,42.4,41.54,42.0,,133057,5587565,,,
2017-04-19,41.94,42.61,41.94,42.61,,92722,3930856,,,
2017-04-20,42.5,42.64,41.52,41.93,,223621,9418192,,,
2017-04-21,41.97,42.14,41.01,41.32,,186784,7728103,,,
2017-04-24,42.01,42.02,41.23,41.81,,102084,4247032,,,
2017-04-25,41.93,42.18,41.66,41.89,,85973,3604204,,,
2017-04-26,41.88,41.94,41.4,41.5,,65847,2743109,,,
2017-04-27,41.51,42.24,41.51,42.16,,151683,6380639,,,
2017-04-28,42.17,42.25,41.66,41.72,,86348,3606589,,,
2017-05-01,,42.245,41.655,41.72,-0.44,86348,3606589,,,
2017-05-02,41.89,42.23,41.76,42.15,,86559,3636583,,,
2017-05-03,42.2,42.29,41.78,41.9,,65266,2738394,,,
2017-05-04,41.86,42.5,41.71,42.5,,82058,3465505,,,
2017-05-05,42.52,42.91,42.38,42.75,,78512,3353971,,,
2017-05-08,43.0,43.0,42.04,42.24,,97456,4128048,,,
2017-05-09,41.83,43.55,41.82,43.3,,151439,6538516,,,
2017-05-10,43.5,43.6,42.53,43.28,,91858,3958630,,,
2017-05-11,43.4,46.06,43.25,45.0,,189125,8496322,,,
2017-05-12,45.18,45.18,44.16,44.99,,159495,7113519,,,
2017-05-15,45.09,45.78,44.31,45.14,,193702,8734286,,,
2017-05-16,45.15,45.36,44.56,45.31,,101476,4567885,,,
2017-05-17,45.06,45.34,44.01,44.19,,149515,6664744,,,
2017-05-18,44.0,44.3,43.29,43.98,,166160,7277314,,,
2017-05-19,43.74,44.12,43.74,44.12,,45,1980,,,
2017-05-22,44.16,44.22,43.44,43.84,,70856,3103013,,,
2017-05-23,43.67,44.13,43.55,43.9,,38308,1681904,,,
2017-05-24,43.92,44.67,43.92,44.53,,111923,4971343,,,
2017-05-25,44.8,44.87,44.29,44.78,,49970,2231857,,,
2017-05-26,44.8,45.36,44.71,45.3,,74453,3360707,,,
2017-05-29,45.61,45.61,45.24,45.32,,112,5089,,,
2017-05-30,45.05,46.02,45.05,46.02,,587,26792,,,
2017-05-31,45.22,46.26,45.22,45.86,,522,24044,,,
2017-06-01,46.12,46.52,45.89,46.52,,106513,4930686,,,
2017-06-02,46.8,46.99,46.72,46.99,,290,13584,,,
2017-06-06,47.12,47.45,46.21,47.43,,686,32083,,,
2017-06-07,47.01,47.43,47.01,47.43,,1081,51021,,,
2017-06-08,47.8,47.8,46.27,46.27,,1945,90599,,,
2017-06-09,46.77,47.44,46.55,47.44,,99674,4702170,,,
2017-06-12,47.31,47.43,45.89,46.31,,112942,5238390,,,
2017-06-13,46.5,46.51,46.03,46.32,,107644,4981185,,,
2017-06-14,46.52,46.86,46.05,46.33,,83741,3881453,,,
2017-06-15,46.34,46.34,45.21,45.67,,101733,4635593,,,
2017-06-16,45.66,46.8,45.66,46.63,,202214,9411695,,,
2017-06-19,46.9,46.9,46.25,46.64,,70056,3260381,,,
2017-06-20,46.48,47.43,46.27,47.37,,108334,5109730,,,
2017-06-21,47.46,47.48,46.53,46.99,,89752,4206563,,,
2017-06-22,47.03,47.4,46.75,47.29,,56071,2640508,,,
2017-06-23,47.29,47.4,46.79,46.99,,80586,3792498,,,
2017-06-26,46.95,47.63,46.91,47.21,,73322,3465639,,,
2017-06-27,47.23,47.33,46.39,46.83,,82492,3866344,,,
2017-06-28,46.68,46.68,45.41,45.68,,117165,5381488,,,
2017-06-29,45.73,45.81,45.11,45.2,,134965,6132452,,,
2017-06-30,45.01,45.74,45.0,45.44,,136112,6187148,,,
2017-07-03,45.29,45.83,45.06,45.75,,71381,3251502,,,
2017-07-04,45.83,45.83,44.74,44.8,,50549,2273551,,,
2017-07-05,44.67,45.36,44.44,45.19,,48706,2189436,,,
2017-07-06,45.5,45.5,44.15,44.62,,66116,2952605,,,
2017-07-07,44.79,44.79,44.25,44.53,,47999,2136578,,,
2017-07-10,44.64,45.18,44.51,44.7,,71868,3221218,,,
2017-07-11,44.94,44.94,44.08,44.2,,90538,4010457,,,
2017-07-12,44.29,45.05,43.89,44.95,,115705,5133971,,,
2017-07-13,44.67,45.18,44.67,44.95,,82745,3718928,,,
2017-07-14,45.07,45.56,44.83,45.53,,67375,3054060,,,
2017-07-17,45.6,46.23,45.29,45.6,,104995,4801806,,,
2017-07-18,45.5,45.55,44.7,45.0,,104003,4684627,,,
2017-07-19,45.06,45.72,44.94,45.57,,71971,3273001,,,
2017-07-20,45.74,45.96,45.23,45.66,,87399,3986488,,,
2017-07-21,45.57,45.88,45.04,45.44,,73422,3334695,,,
2017-07-24,45.31,45.31,44.49,44.61,,104282,4661866,,,
2017-07-25,44.7,45.04,44.63,44.82,,112224,5033312,,,
2017-07-26,44.91,45.33,44.46,45.16,,81970,3688510,,,
2017-07-27,45.16,45.45,45.15,45.25,,50557,2290284,,,
2017-07-28,45.26,45.29,44.75,44.97,,114006,5127247,,,
2017-07-31,44.94,45.75,44.94,45.3,,62672,2844210,,,
2017-08-01,45.24,45.54,45.1,45.45,,74975,3399891,,,
2017-08-02,45.25,45.77,44.9,45.56,,187468,8528548,,,
2017-08-03,45.34,45.54,44.91,44.97,,77854,3517146,,,
2017-08-04,45.13,45.13,44.36,45.07,,96202,4306911,,,
2017-08-07,45.85,46.34,44.02,44.96,,164543,7378816,,,
2017-08-08,44.9,45.09,44.15,44.37,,156168,6941408,,,
2017-08-09,43.5,43.5,41.64,41.81,,355857,15003956,,,
2017-08-10,41.73,41.99,41.14,41.68,,175161,7303562,,,
2017-08-11,41.3,41.94,40.96,41.94,,183412,7604144,,,
2017-08-14,42.12,42.69,42.01,42.3,,127682,5416963,,,
2017-08-15,42.53,42.53,42.2,42.28,,64334,2721852,,,
2017-08-16,42.4,42.62,41.98,42.05,,104676,4408312,,,
2017-08-17,41.88,43.01,41.76,42.5,,131361,5583704,,,
2017-08-18,42.28,42.6,42.01,42.41,,72886,3092377,,,
2017-08-21,42.42,42.76,42.2,42.26,,68812,2922972,,,
2017-08-22,42.46,42.96,42.4,42.71,,95376,4075646,,,
2017-08-23,42.82,43.17,42.6,42.71,,70269,3011578,,,
2017-08-24,42.72,43.05,42.63,42.69,,65213,2792319,,,
2017-08-25,42.64,42.64,42.05,42.14,,69734,2948016,,,
2017-08-28,42.11,42.25,41.86,41.91,,47130,1978704,,,
2017-08-29,41.71,41.98,41.33,41.85,,98156,4094452,,,
2017-08-30,42.0,42.2,41.49,41.94,,97804,4090262,,,
2017-08-31,42.0,42.08,41.12,41.9,,157888,6580200,,,
2017-09-01,42.16,43.06,42.07,42.41,,151474,6453558,,,
2017-09-04,42.38,42.75,41.95,42.6,,105288,4471634,,,
2017-09-05,43.0,43.19,42.55,42.62,,66351,2846115,,,
2017-09-06,42.66,42.71,42.34,42.55,,71006,3020229,,,
2017-09-07,43.0,43.02,42.67,42.77,,64320,2751388,,,
2017-09-08,42.7,42.75,42.56,42.67,,59881,2553977,,,
2017-09-11,42.81,42.89,42.56,42.85,,103273,4415614,,,
2017-09-12,43.21,43.34,42.62,42.73,,52828,2259924,,,
2017-09-13,42.49,42.69,42.22,42.45,,68801,2921240,,,
2017-09-14,42.35,42.8,42.35,42.52,,65157,2770696,,,
2017-09-15,42.29,42.81,42.25,42.42,,107144,4555791,,,
2017-09-18,42.5,42.63,42.23,42.27,,44037,1864954,,,
2017-09-19,42.65,42.65,42.13,42.44,,65546,2777065,,,
2017-09-20,42.54,42.54,41.99,41.99,,57838,2440557,,,
2017-09-21,42.29,42.29,41.39,41.46,,105194,4378409,,,
2017-09-22,41.48,42.38,41.48,42.06,,79955,3362517,,,
2017-09-25,42.3,42.3,41.96,42.07,,56224,2366453,,,
2017-09-26,42.3,42.57,42.11,42.37,,51321,2175381,,,
2017-09-27,42.35,42.49,41.78,42.04,,76600,3219861,,,
2017-09-28,42.0,43.56,42.0,43.56,,157234,6775569,,,
2017-09-29,43.58,44.17,43.3,44.17,,99821,4384796,,,
2017-10-02,44.51,44.98,44.18,44.98,,95313,4265024,,,
2017-10-04,45.36,46.17,45.22,46.11,,115706,5313199,,,
2017-10-05,46.01,46.09,45.63,46.05,,94804,4352002,,,
2017-10-06,46.19,46.19,45.69,46.0,,66760,3066198,,,
2017-10-09,46.2,46.2,45.6,45.74,,44059,2015453,,,
2017-10-10,45.64,46.04,45.57,45.84,,65860,3016658,,,
2017-10-11,45.97,45.97,45.25,45.29,,69455,3158321,,,
2017-10-12,45.58,45.58,45.17,45.43,,49180,2233481,,,
2017-10-13,45.5,45.7,45.37,45.4,,43362,1971801,,,
2017-10-16,45.61,45.75,45.3,45.55,,49246,2243129,,,
2017-10-17,45.8,46.06,45.37,45.96,,65837,3014080,,,
2017-10-18,46.01,46.2,45.61,45.77,,45263,2076951,,,
2017-10-19,45.72,45.85,44.79,45.0,,59991,2703085,,,
2017-10-20,45.08,45.34,44.76,44.87,,55707,2503853,,,
2017-10-23,44.9,45.34,44.89,45.0,,43375,1952918,,,
2017-10-24,45.16,45.27,44.75,44.85,,43042,1937616,,,
2017-10-25,45.01,45.06,44.7,45.0,,47730,2145697,,,
2017-10-26,45.2,45.41,44.91,45.41,,56319,2548078,,,
2017-10-27,45.48,46.42,45.46,46.41,,74472,3434087,,,
2017-10-30,46.53,46.65,45.61,45.76,,56245,2585397,,,
2017-11-01,46.29,46.55,45.97,46.04,,56319,2603859,,,
2017-11-02,45.88,46.06,45.18,45.27,,37958,1724840,,,
2017-11-03,45.0,46.04,44.83,45.97,,56911,2603498,,,
2017-11-06,45.81,46.09,45.76,45.99,,60716,2789220,,,
2017-11-07,46.16,46.33,45.84,46.26,,48152,2224221,,,
2017-11-08,46.42,47.72,46.42,47.47,,94195,4463935,,,
2017-11-09,47.65,48.06,47.09,47.21,,120268,5712034,,,
2017-11-10,47.3,48.89,47.16,48.34,,90245,4361552,,,
2017-11-13,48.38,48.61,47.76,48.34,,76286,3681337,,,
2017-11-14,48.4,48.9,47.84,48.0,,67672,3259979,,,
2017-11-15,47.98,48.01,46.75,47.05,,67593,3188321,,,
2017-11-16,47.09,47.23,46.55,47.03,,89373,4195732,,,
2017-11-17,47.03,47.15,46.8,46.84,,54107,2540820,,,
2017-11-20,46.57,47.38,46.54,47.04,,97252,4563515,,,
2017-11-21,47.25,48.59,46.78,48.39,,78502,3782098,,,
2017-11-22,48.4,49.61,48.39,48.8,,91142,4478093,,,
2017-11-23,48.8,49.46,48.45,49.2,,38834,1909352,,,
2017-11-24,49.11,49.41,48.87,49.11,,50350,2472842,,,
2017-11-27,49.13,49.73,48.96,49.2,,102180,5055762,,,
2017-11-28,49.09,49.89,49.03,49.25,,42669,2107358,,,
2017-11-29,49.64,49.64,48.7,48.75,,67342,3292223,,,
2017-11-30,48.64,49.84,48.28,49.7,,123019,6085171,,,
2017-12-01,49.52,50.49,49.17,49.86,,101733,5065932,,,
2017-12-04,49.5,51.23,49.5,51.14,,94385,4800027,,,
2017-12-05,51.21,51.38,50.4,51.25,,83023,4231971,,,
2017-12-06,50.8,51.11,50.39,50.89,,88730,4504075,,,
2017-12-07,50.89,51.47,50.81,51.47,,48123,2463848,,,
2017-12-08,51.5,52.83,51.28,52.12,,109157,5690648,,,
2017-12-11,52.28,52.45,51.26,52.14,,71817,3724193,,,
2017-12-12,52.29,53.1,51.82,52.43,,87911,4615924,,,
2017-12-13,52.64,53.35,52.48,53.09,,128434,6801159,,,
2017-12-14,53.11,53.54,52.15,52.67,,132981,7016953,,,
2017-12-15,52.7,52.7,51.64,52.01,,204080,10596319,,,
2017-12-18,52.37,52.75,51.61,52.62,,129733,6770499,,,
2017-12-19,52.73,52.73,51.07,51.66,,137313,7102361,,,
2017-12-20,51.88,52.04,51.2,51.27,,50587,2610258,,,
2017-12-21,51.16,51.52,50.9,51.4,,120649,6179433,,,
2017-12-22,51.05,51.5,50.92,51.32,,71165,3641949,,,
2017-12-27,51.45,51.89,50.76,51.82,,57452,2957018,,,
2017-12-28,51.65,51.82,51.43,51.6,,40660,2099024,,,
2017-12-29,51.76,51.94,51.45,51.76,,34640,1792304,,,
